Coin,Signal Type,Analysis Type,Month,Window (months),Trend Value,Price,Future Price,Price Change (%),Followed by Negative Trend,Price Drop > 10%,Followed by Positive Trend,Price Rise > 10%
ethereum,Peak,Normalized,2016-03,3,2.848173870268498,,,,False,False,,
ethereum,Peak,Normalized,2016-03,6,2.848173870268498,,,,False,False,,
ethereum,Peak,Normalized,2016-05,1,1.9050910417170486,,,,False,False,,
ethereum,Peak,Normalized,2016-05,3,1.9050910417170486,,,,False,False,,
ethereum,Peak,Normalized,2016-05,6,1.9050910417170486,,,,False,False,,
ethereum,Peak,Normalized,2016-06,1,2.169187439955308,,,,False,False,,
ethereum,Peak,Normalized,2016-06,3,2.169187439955308,,,,False,False,,
ethereum,Peak,Normalized,2016-06,6,2.169187439955308,,,,False,False,,
ethereum,Peak,Normalized,2017-03,1,2.70801280154532,,,,False,False,,
ethereum,Peak,Normalized,2017-03,3,2.70801280154532,,,,False,False,,
